20:45:42.841 > Starting HX711 dual-example (Teensy + Adafruit HX711)
20:45:42.841 > Scale 1 is busy...
20:45:42.848 > Scale 2 is busy...
20:45:42.858 > Scale 1 is busy...
20:45:42.858 > Scale 2 is busy...
20:45:42.868 > Scale 1 is busy...
20:45:42.868 > Scale 2 is busy...
20:45:42.878 > Scale 1 is busy...
20:45:42.878 > Scale 2 is busy...
20:45:42.884 > Scale 1 is busy...
20:45:42.884 > Scale 2 is busy...
20:45:42.892 > Scale 1 is busy...
20:45:42.892 > Scale 2 is busy...
20:45:42.908 > Scale 1 is busy...
20:45:42.908 > Scale 2 is busy...
20:45:42.926 > READ_CSV,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
20:45:42.926 > Calibrating both scales together:
20:45:49.577 > Tare1 raw = 128974
20:45:49.577 > Tare2 raw = 56276
20:45:49.577 > 
20:45:49.577 > Calibration complete. Readings follow...
20:45:55.726 > [char] Starting throttle ramp to 0.40 then back to 0
20:45:56.065 > READ_CSV,17451,1,-2469.172,0,52.233700,128974,0.013,5.120
20:45:56.065 > READ_CSV,17451,2,-1077.389,0,52.233700,56276,0.013,5.120
20:45:56.065 > READ_CSV,17451,3,-1773.281,0,52.233700,0,0.013,5.120
20:45:56.075 > READ_CSV,17463,1,-2469.172,0,52.233700,128974,0.014,5.128
20:45:56.075 > READ_CSV,17463,2,-1077.389,0,52.233700,56276,0.014,5.128
20:45:56.075 > READ_CSV,17463,3,-1773.281,0,52.233700,0,0.014,5.128
20:45:56.090 > READ_CSV,17476,1,-2469.172,0,52.233700,128974,0.014,5.135
20:45:56.091 > READ_CSV,17476,2,-1077.389,0,52.233700,56276,0.014,5.135
20:45:56.091 > READ_CSV,17476,3,-1773.281,0,52.233700,0,0.014,5.135
20:45:56.102 > READ_CSV,17488,1,-2469.172,0,52.233700,128974,0.015,5.135
20:45:56.102 > READ_CSV,17488,2,-1077.389,0,52.233700,56276,0.015,5.135
20:45:56.102 > READ_CSV,17488,3,-1773.281,0,52.233700,0,0.015,5.135
20:45:56.115 > READ_CSV,17501,1,-2469.172,0,52.233700,128974,0.015,5.142
20:45:56.115 > READ_CSV,17501,2,-1077.389,0,52.233700,56276,0.015,5.142
20:45:56.115 > READ_CSV,17501,3,-1773.281,0,52.233700,0,0.015,5.142
20:45:56.127 > READ_CSV,17513,1,-2469.172,0,52.233700,128974,0.016,5.149
20:45:56.128 > READ_CSV,17513,2,-1077.389,0,52.233700,56276,0.016,5.149
20:45:56.128 > READ_CSV,17513,3,-1773.281,0,52.233700,0,0.016,5.149
20:45:56.140 > READ_CSV,17526,1,-2469.172,0,52.233700,128974,0.016,5.157
20:45:56.140 > READ_CSV,17526,2,-1077.389,0,52.233700,56276,0.016,5.157
20:45:56.140 > READ_CSV,17526,3,-1773.281,0,52.233700,0,0.016,5.157
20:45:56.152 > READ_CSV,17538,1,-2469.172,0,52.233700,128974,0.017,5.157
20:45:56.152 > READ_CSV,17538,2,-1077.389,0,52.233700,56276,0.017,5.157
20:45:56.152 > READ_CSV,17538,3,-1773.281,0,52.233700,0,0.017,5.157
20:45:56.164 > READ_CSV,17551,1,-2469.172,0,52.233700,128974,0.017,5.157
20:45:56.165 > READ_CSV,17551,2,-1077.389,0,52.233700,56276,0.017,5.157
20:45:56.165 > READ_CSV,17551,3,-1773.281,0,52.233700,0,0.017,5.157
20:45:56.177 > READ_CSV,17563,1,-2469.172,0,52.233700,128974,0.018,5.157
20:45:56.177 > READ_CSV,17563,2,-1077.389,0,52.233700,56276,0.018,5.157
20:45:56.177 > READ_CSV,17563,3,-1773.281,0,52.233700,0,0.018,5.157
20:45:56.190 > READ_CSV,17576,1,-2469.172,0,52.233700,128974,0.018,5.164
20:45:56.190 > READ_CSV,17576,2,-1077.389,0,52.233700,56276,0.018,5.164
20:45:56.190 > READ_CSV,17576,3,-1773.281,0,52.233700,0,0.018,5.164
20:45:56.198 > READ_CSV,17588,1,-2469.172,0,52.233700,128974,0.019,5.171
20:45:56.198 > READ_CSV,17588,2,-1077.389,0,52.233700,56276,0.019,5.171
20:45:56.198 > READ_CSV,17588,3,-1773.281,0,52.233700,0,0.019,5.171
20:45:56.215 > READ_CSV,17601,1,-2469.172,0,52.233700,128974,0.019,5.178
20:45:56.215 > READ_CSV,17601,2,-1077.389,0,52.233700,56276,0.019,5.178
20:45:56.215 > READ_CSV,17601,3,-1773.281,0,52.233700,0,0.019,5.178
20:45:56.227 > READ_CSV,17613,1,-2469.172,0,52.233700,128974,0.020,5.171
20:45:56.227 > READ_CSV,17613,2,-1077.389,0,52.233700,56276,0.020,5.171
20:45:56.227 > READ_CSV,17613,3,-1773.281,0,52.233700,0,0.020,5.171
20:45:56.239 > READ_CSV,17626,1,-2469.172,0,52.233700,128974,0.020,5.178
20:45:56.239 > READ_CSV,17626,2,-1077.389,0,52.233700,56276,0.020,5.178
20:45:56.239 > READ_CSV,17626,3,-1773.281,0,52.233700,0,0.020,5.178
20:45:56.248 > READ_CSV,17638,1,-2469.172,0,52.233700,128974,0.021,5.178
20:45:56.248 > READ_CSV,17638,2,-1077.389,0,52.233700,56276,0.021,5.178
20:45:56.248 > READ_CSV,17638,3,-1773.281,0,52.233700,0,0.021,5.178
20:45:56.265 > READ_CSV,17651,1,-2469.172,0,52.233700,128974,0.021,5.193
20:45:56.266 > READ_CSV,17651,2,-1077.389,0,52.233700,56276,0.021,5.193
20:45:56.266 > READ_CSV,17651,3,-1773.281,0,52.233700,0,0.021,5.193
20:45:56.276 > READ_CSV,17663,1,-2469.172,0,52.233700,128974,0.022,5.193
20:45:56.279 > READ_CSV,17663,2,-1077.389,0,52.233700,56276,0.022,5.193
20:45:56.279 > READ_CSV,17663,3,-1773.281,0,52.233700,0,0.022,5.193
20:45:56.290 > READ_CSV,17676,1,-2469.172,0,52.233700,128974,0.022,5.193
20:45:56.290 > READ_CSV,17676,2,-1077.389,0,52.233700,56276,0.022,5.193
20:45:56.290 > READ_CSV,17676,3,-1773.281,0,52.233700,0,0.022,5.193
20:45:56.301 > READ_CSV,17688,1,-2469.172,0,52.233700,128974,0.023,5.193
20:45:56.304 > READ_CSV,17688,2,-1077.389,0,52.233700,56276,0.023,5.193
20:45:56.304 > READ_CSV,17688,3,-1773.281,0,52.233700,0,0.023,5.193
20:45:56.313 > READ_CSV,17701,1,-2469.172,0,52.233700,128974,0.023,5.200
20:45:56.317 > READ_CSV,17701,2,-1077.389,0,52.233700,56276,0.023,5.200
20:45:56.317 > READ_CSV,17701,3,-1773.281,0,52.233700,0,0.023,5.200
20:45:56.327 > READ_CSV,17713,1,-2469.172,0,52.233700,128974,0.024,5.200
20:45:56.327 > READ_CSV,17713,2,-1077.389,0,52.233700,56276,0.024,5.200
20:45:56.327 > READ_CSV,17713,3,-1773.281,0,52.233700,0,0.024,5.200
20:45:56.338 > READ_CSV,17726,1,-2469.172,0,52.233700,128974,0.024,5.200
20:45:56.338 > READ_CSV,17726,2,-1077.389,0,52.233700,56276,0.024,5.200
20:45:56.338 > READ_CSV,17726,3,-1773.281,0,52.233700,0,0.024,5.200
20:45:56.352 > READ_CSV,17738,1,-2469.172,0,52.233700,128974,0.025,5.193
20:45:56.352 > READ_CSV,17738,2,-1077.389,0,52.233700,56276,0.025,5.193
20:45:56.352 > READ_CSV,17738,3,-1773.281,0,52.233700,0,0.025,5.193
20:45:56.365 > READ_CSV,17751,1,-2469.172,0,52.233700,128974,0.025,5.215
20:45:56.365 > READ_CSV,17751,2,-1077.389,0,52.233700,56276,0.025,5.215
20:45:56.365 > READ_CSV,17751,3,-1773.281,0,52.233700,0,0.025,5.215
20:45:56.374 > READ_CSV,17763,1,-2469.172,0,52.233700,128974,0.026,5.207
20:45:56.378 > READ_CSV,17763,2,-1077.389,0,52.233700,56276,0.026,5.207
20:45:56.378 > READ_CSV,17763,3,-1773.281,0,52.233700,0,0.026,5.207
20:45:56.387 > READ_CSV,17776,1,-2469.172,0,52.233700,128974,0.026,5.215
20:45:56.387 > READ_CSV,17776,2,-1077.389,0,52.233700,56276,0.026,5.215
20:45:56.387 > READ_CSV,17776,3,-1773.281,0,52.233700,0,0.026,5.215
20:45:56.403 > READ_CSV,17788,1,-2469.172,0,52.233700,128974,0.027,5.222
20:45:56.403 > READ_CSV,17788,2,-1077.389,0,52.233700,56276,0.027,5.222
20:45:56.403 > READ_CSV,17788,3,-1773.281,0,52.233700,0,0.027,5.222
20:45:56.415 > READ_CSV,17801,1,-2469.172,0,52.233700,128974,0.027,5.215
20:45:56.415 > READ_CSV,17801,2,-1077.389,0,52.233700,56276,0.027,5.215
20:45:56.415 > READ_CSV,17801,3,-1773.281,0,52.233700,0,0.027,5.215
20:45:56.427 > READ_CSV,17813,1,-2469.172,0,52.233700,128974,0.028,5.229
20:45:56.428 > READ_CSV,17813,2,-1077.389,0,52.233700,56276,0.028,5.229
20:45:56.428 > READ_CSV,17813,3,-1773.281,0,52.233700,0,0.028,5.229
20:45:56.440 > READ_CSV,17826,1,-2469.172,0,52.233700,128974,0.028,5.215
20:45:56.440 > READ_CSV,17826,2,-1077.389,0,52.233700,56276,0.028,5.215
20:45:56.440 > READ_CSV,17826,3,-1773.281,0,52.233700,0,0.028,5.215
20:45:56.453 > READ_CSV,17838,1,-2469.172,0,52.233700,128974,0.029,5.229
20:45:56.453 > READ_CSV,17838,2,-1077.389,0,52.233700,56276,0.029,5.229
20:45:56.453 > READ_CSV,17838,3,-1773.281,0,52.233700,0,0.029,5.229
20:45:56.460 > READ_CSV,17851,1,-2469.172,0,52.233700,128974,0.029,5.222
20:45:56.460 > READ_CSV,17851,2,-1077.389,0,52.233700,56276,0.029,5.222
20:45:56.460 > READ_CSV,17851,3,-1773.281,0,52.233700,0,0.029,5.222
20:45:56.477 > READ_CSV,17863,1,-2469.172,0,52.233700,128974,0.030,5.207
20:45:56.477 > READ_CSV,17863,2,-1077.389,0,52.233700,56276,0.030,5.207
20:45:56.477 > READ_CSV,17863,3,-1773.281,0,52.233700,0,0.030,5.207
20:45:56.487 > READ_CSV,17876,1,-2469.172,0,52.233700,128974,0.030,5.222
20:45:56.487 > READ_CSV,17876,2,-1077.389,0,52.233700,56276,0.030,5.222
20:45:56.487 > READ_CSV,17876,3,-1773.281,0,52.233700,0,0.030,5.222
20:45:56.495 > READ_CSV,17888,1,-2469.172,0,52.233700,128974,0.031,5.229
20:45:56.495 > READ_CSV,17888,2,-1077.389,0,52.233700,56276,0.031,5.229
20:45:56.495 > READ_CSV,17888,3,-1773.281,0,52.233700,0,0.031,5.229
20:45:56.513 > READ_CSV,17901,1,-2469.172,0,52.233700,128974,0.031,5.229
20:45:56.513 > READ_CSV,17901,2,-1077.389,0,52.233700,56276,0.031,5.229
20:45:56.513 > READ_CSV,17901,3,-1773.281,0,52.233700,0,0.031,5.229
20:45:56.524 > READ_CSV,17913,1,-2469.172,0,52.233700,128974,0.032,5.229
20:45:56.524 > READ_CSV,17913,2,-1077.389,0,52.233700,56276,0.032,5.229
20:45:56.524 > READ_CSV,17913,3,-1773.281,0,52.233700,0,0.032,5.229
20:45:56.539 > READ_CSV,17926,1,-2469.172,0,52.233700,128974,0.032,5.229
20:45:56.541 > READ_CSV,17926,2,-1077.389,0,52.233700,56276,0.032,5.229
20:45:56.541 > READ_CSV,17926,3,-1773.281,0,52.233700,0,0.032,5.229
20:45:56.549 > READ_CSV,17938,1,-2469.172,0,52.233700,128974,0.033,5.229
20:45:56.549 > READ_CSV,17938,2,-1077.389,0,52.233700,56276,0.033,5.229
20:45:56.549 > READ_CSV,17938,3,-1773.281,0,52.233700,0,0.033,5.229
20:45:56.563 > READ_CSV,17951,1,-2469.172,0,52.233700,128974,0.033,5.295
20:45:56.563 > READ_CSV,17951,2,-1077.389,0,52.233700,56276,0.033,5.295
20:45:56.563 > READ_CSV,17951,3,-1773.281,0,52.233700,0,0.033,5.295
20:45:56.574 > READ_CSV,17963,1,-2469.172,0,52.233700,128974,0.034,5.258
20:45:56.574 > READ_CSV,17963,2,-1077.389,0,52.233700,56276,0.034,5.258
20:45:56.574 > READ_CSV,17963,3,-1773.281,0,52.233700,0,0.034,5.258
20:45:56.588 > READ_CSV,17976,1,-2469.172,0,52.233700,128974,0.034,5.236
20:45:56.588 > READ_CSV,17976,2,-1077.389,0,52.233700,56276,0.034,5.236
20:45:56.588 > READ_CSV,17976,3,-1773.281,0,52.233700,0,0.034,5.236
20:45:56.596 > READ_CSV,17988,1,-2469.172,0,52.233700,128974,0.035,5.236
20:45:56.605 > READ_CSV,17988,2,-1077.389,0,52.233700,56276,0.035,5.236
20:45:56.605 > READ_CSV,17988,3,-1773.281,0,52.233700,0,0.035,5.236
20:45:56.613 > READ_CSV,18001,1,-2469.172,0,52.233700,128974,0.035,5.236
20:45:56.613 > READ_CSV,18001,2,-1077.389,0,52.233700,56276,0.035,5.236
20:45:56.613 > READ_CSV,18001,3,-1773.281,0,52.233700,0,0.035,5.236
20:45:56.623 > READ_CSV,18013,1,-2469.172,0,52.233700,128974,0.036,5.258
20:45:56.623 > READ_CSV,18013,2,-1077.389,0,52.233700,56276,0.036,5.258
20:45:56.623 > READ_CSV,18013,3,-1773.281,0,52.233700,0,0.036,5.258
20:45:56.638 > READ_CSV,18026,1,-2469.172,0,52.233700,128974,0.036,5.244
20:45:56.638 > READ_CSV,18026,2,-1077.389,0,52.233700,56276,0.036,5.244
20:45:56.638 > READ_CSV,18026,3,-1773.281,0,52.233700,0,0.036,5.244
20:45:56.646 > READ_CSV,18038,1,-2469.172,0,52.233700,128974,0.037,5.236
20:45:56.646 > READ_CSV,18038,2,-1077.389,0,52.233700,56276,0.037,5.236
20:45:56.646 > READ_CSV,18038,3,-1773.281,0,52.233700,0,0.037,5.236
20:45:56.663 > READ_CSV,18051,1,-2469.172,0,52.233700,128974,0.037,5.236
20:45:56.663 > READ_CSV,18051,2,-1077.389,0,52.233700,56276,0.037,5.236
20:45:56.663 > READ_CSV,18051,3,-1773.281,0,52.233700,0,0.037,5.236
20:45:56.672 > READ_CSV,18063,1,-2469.172,0,52.233700,128974,0.038,5.236
20:45:56.672 > READ_CSV,18063,2,-1077.389,0,52.233700,56276,0.038,5.236
20:45:56.672 > READ_CSV,18063,3,-1773.281,0,52.233700,0,0.038,5.236
