source_file,clock_time,time_ms,loadcell,grams,raw,scale,tare,throttle,battery_voltage
100-test-1.log,00:32:48.358,15748,3,0.472,0,51.957458,0,0.01,0.46
100-test-1.log,00:32:48.371,15761,1,-0.077,-34667,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.371,15761,2,-0.346,128337,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.371,15761,3,-0.212,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.385,15775,1,0.115,-34657,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.385,15775,2,-4.215,128136,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.385,15775,3,-2.05,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.399,15788,1,0.924,-34615,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.399,15788,2,-3.618,128167,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.399,15788,3,-1.347,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.411,15801,1,1.059,-34608,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.411,15801,2,-2.868,128206,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.411,15801,3,-0.905,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.423,15814,1,2.079,-34555,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.423,15814,2,-2.059,128248,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.423,15814,3,0.01,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.437,15827,1,0.154,-34655,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.437,15827,2,2.406,128480,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.437,15827,3,1.28,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.452,15841,1,0.077,-34659,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.452,15841,2,-0.269,128341,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.452,15841,3,-0.096,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.467,15854,1,2.771,-34519,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.467,15854,2,-1.79,128262,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.467,15854,3,0.491,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.477,15867,1,0.789,-34622,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.477,15867,2,-0.096,128350,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.477,15867,3,0.346,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.490,15880,1,0.173,-34654,51.957458,-34663,0.015,0.46
100-test-1.log,00:32:48.490,15880,2,-0.481,128330,51.957458,128355,0.015,0.46
100-test-1.log,00:32:48.490,15880,3,-0.154,0,51.957458,0,0.015,0.46
100-test-1.log,00:32:48.503,15893,1,1.347,-34593,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.503,15893,2,-2.136,128244,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.503,15893,3,-0.395,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.516,15906,1,1.443,-34588,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.516,15906,2,1.155,128415,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.516,15906,3,1.299,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.530,15920,1,2.791,-34518,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.530,15920,2,-0.866,128310,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.530,15920,3,0.962,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.543,15933,1,1.867,-34566,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.543,15933,2,-1.828,128260,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.543,15933,3,0.019,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.556,15946,1,-0.789,-34704,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.556,15946,2,-1.078,128299,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.556,15946,3,-0.933,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.570,15959,1,-2.156,-34775,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.570,15959,2,-3.06,128196,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.570,15959,3,-2.608,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.583,15972,1,0.269,-34649,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.583,15972,2,-2.464,128227,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.583,15972,3,-1.097,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.596,15986,1,0.693,-34627,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.596,15986,2,2.31,128475,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.596,15986,3,1.501,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.609,15999,1,0.269,-34649,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.609,15999,2,2.233,128471,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.609,15999,3,1.251,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.622,16012,1,-0.327,-34680,51.957458,-34663,0.02,0.46
100-test-1.log,00:32:48.622,16012,2,0.635,128388,51.957458,128355,0.02,0.46
100-test-1.log,00:32:48.622,16012,3,0.154,0,51.957458,0,0.02,0.46
100-test-1.log,00:32:48.636,16025,1,-0.25,-34676,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.636,16025,2,1.578,128437,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.636,16025,3,0.664,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.649,16038,1,-0.558,-34692,51.957458,-34663,0.025,0.46
100-test-1.log,00:32:48.649,16038,2,0.693,128391,51.957458,128355,0.025,0.46
100-test-1.log,00:32:48.649,16038,3,0.067,0,51.957458,0,0.025,0.46
100-test-1.log,00:32:48.662,16052,1,0.289,-34648,51.957458,-34663,0.025,0.46
