21:11:44.544 > [char] Starting throttle ramp to 0.40 then back to 0
21:11:44.904 > READ_CSV,2429284,3,90.076,0,52.233700,0,0.014
21:11:44.921 > READ_CSV,2429296,1,69.668,156006,52.233700,152367,0.015
21:11:44.921 > READ_CSV,2429296,2,105.909,43301,52.233700,37769,0.015
21:11:44.921 > READ_CSV,2429296,3,87.788,0,52.233700,0,0.015
21:11:44.933 > READ_CSV,2429309,1,70.721,156061,52.233700,152367,0.015
21:11:44.933 > READ_CSV,2429309,2,103.784,43190,52.233700,37769,0.015
21:11:44.933 > READ_CSV,2429309,3,87.252,0,52.233700,0,0.015
21:11:44.945 > READ_CSV,2429321,1,70.165,156032,52.233700,152367,0.016
21:11:44.946 > READ_CSV,2429321,2,104.243,43214,52.233700,37769,0.016
21:11:44.946 > READ_CSV,2429321,3,87.204,0,52.233700,0,0.016
21:11:44.958 > READ_CSV,2429334,1,70.759,156063,52.233700,152367,0.016
21:11:44.958 > READ_CSV,2429334,2,107.115,43364,52.233700,37769,0.016
21:11:44.958 > READ_CSV,2429334,3,88.937,0,52.233700,0,0.016
21:11:44.970 > READ_CSV,2429346,1,69.093,155976,52.233700,152367,0.017
21:11:44.971 > READ_CSV,2429346,2,108.895,43457,52.233700,37769,0.017
21:11:44.971 > READ_CSV,2429346,3,88.994,0,52.233700,0,0.017
21:11:44.984 > READ_CSV,2429359,1,73.497,156206,52.233700,152367,0.017
21:11:44.984 > READ_CSV,2429359,2,107.134,43365,52.233700,37769,0.017
21:11:44.984 > READ_CSV,2429359,3,90.315,0,52.233700,0,0.017
21:11:44.995 > READ_CSV,2429371,1,71.716,156113,52.233700,152367,0.018
21:11:44.996 > READ_CSV,2429371,2,107.842,43402,52.233700,37769,0.018
21:11:44.996 > READ_CSV,2429371,3,89.779,0,52.233700,0,0.018
21:11:45.009 > READ_CSV,2429384,1,68.653,155953,52.233700,152367,0.018
21:11:45.009 > READ_CSV,2429384,2,110.676,43550,52.233700,37769,0.018
21:11:45.009 > READ_CSV,2429384,3,89.664,0,52.233700,0,0.018
21:11:45.020 > READ_CSV,2429396,1,71.257,156089,52.233700,152367,0.019
21:11:45.020 > READ_CSV,2429396,2,112.782,43660,52.233700,37769,0.019
21:11:45.020 > READ_CSV,2429396,3,92.019,0,52.233700,0,0.019
21:11:45.033 > READ_CSV,2429409,1,71.697,156112,52.233700,152367,0.019
21:11:45.034 > READ_CSV,2429409,2,112.341,43637,52.233700,37769,0.019
21:11:45.034 > READ_CSV,2429409,3,92.019,0,52.233700,0,0.019
21:11:45.046 > READ_CSV,2429421,1,66.222,155826,52.233700,152367,0.020
21:11:45.046 > READ_CSV,2429421,2,109.182,43472,52.233700,37769,0.020
21:11:45.046 > READ_CSV,2429421,3,87.702,0,52.233700,0,0.020
21:11:45.058 > READ_CSV,2429434,1,69.323,155988,52.233700,152367,0.020
21:11:45.059 > READ_CSV,2429434,2,107.517,43385,52.233700,37769,0.020
21:11:45.059 > READ_CSV,2429434,3,88.420,0,52.233700,0,0.020
21:11:45.070 > READ_CSV,2429446,1,73.133,156187,52.233700,152367,0.021
21:11:45.070 > READ_CSV,2429446,2,109.182,43472,52.233700,37769,0.021
21:11:45.070 > READ_CSV,2429446,3,91.158,0,52.233700,0,0.021
21:11:45.083 > READ_CSV,2429459,1,71.735,156114,52.233700,152367,0.021
21:11:45.083 > READ_CSV,2429459,2,109.833,43506,52.233700,37769,0.021
21:11:45.083 > READ_CSV,2429459,3,90.784,0,52.233700,0,0.021
21:11:45.095 > READ_CSV,2429471,1,73.229,156192,52.233700,152367,0.022
21:11:45.095 > READ_CSV,2429471,2,111.997,43619,52.233700,37769,0.022
21:11:45.095 > READ_CSV,2429471,3,92.613,0,52.233700,0,0.022
21:11:45.107 > READ_CSV,2429484,1,76.234,156349,52.233700,152367,0.022
21:11:45.107 > READ_CSV,2429484,2,110.523,43542,52.233700,37769,0.022
21:11:45.107 > READ_CSV,2429484,3,93.378,0,52.233700,0,0.022
21:11:45.121 > READ_CSV,2429496,1,74.530,156260,52.233700,152367,0.023
21:11:45.121 > READ_CSV,2429496,2,110.331,43532,52.233700,37769,0.023
21:11:45.121 > READ_CSV,2429496,3,92.431,0,52.233700,0,0.023
21:11:45.133 > READ_CSV,2429509,1,70.414,156045,52.233700,152367,0.023
21:11:45.133 > READ_CSV,2429509,2,110.810,43557,52.233700,37769,0.023
21:11:45.133 > READ_CSV,2429509,3,90.612,0,52.233700,0,0.023
21:11:45.146 > READ_CSV,2429521,1,73.056,156183,52.233700,152367,0.024
21:11:45.146 > READ_CSV,2429521,2,109.259,43476,52.233700,37769,0.024
21:11:45.146 > READ_CSV,2429521,3,91.158,0,52.233700,0,0.024
21:11:45.158 > READ_CSV,2429534,1,74.454,156256,52.233700,152367,0.024
21:11:45.159 > READ_CSV,2429534,2,106.119,43312,52.233700,37769,0.024
21:11:45.159 > READ_CSV,2429534,3,90.287,0,52.233700,0,0.024
21:11:45.171 > READ_CSV,2429546,1,73.477,156205,52.233700,152367,0.025
21:11:45.171 > READ_CSV,2429546,2,105.679,43289,52.233700,37769,0.025
21:11:45.171 > READ_CSV,2429546,3,89.578,0,52.233700,0,0.025
21:11:45.183 > READ_CSV,2429559,1,72.597,156159,52.233700,152367,0.025
21:11:45.183 > READ_CSV,2429559,2,106.426,43328,52.233700,37769,0.025
21:11:45.183 > READ_CSV,2429559,3,89.511,0,52.233700,0,0.025
21:11:45.196 > READ_CSV,2429571,1,74.530,156260,52.233700,152367,0.026
21:11:45.196 > READ_CSV,2429571,2,105.851,43298,52.233700,37769,0.026
21:11:45.196 > READ_CSV,2429571,3,90.191,0,52.233700,0,0.026
21:11:45.208 > READ_CSV,2429584,1,73.286,156195,52.233700,152367,0.026
21:11:45.209 > READ_CSV,2429584,2,110.676,43550,52.233700,37769,0.026
21:11:45.209 > READ_CSV,2429584,3,91.981,0,52.233700,0,0.026
21:11:45.221 > READ_CSV,2429596,1,68.232,155931,52.233700,152367,0.027
21:11:45.221 > READ_CSV,2429596,2,110.618,43547,52.233700,37769,0.027
21:11:45.221 > READ_CSV,2429596,3,89.425,0,52.233700,0,0.027
21:11:45.233 > READ_CSV,2429609,1,68.902,155966,52.233700,152367,0.027
21:11:45.234 > READ_CSV,2429609,2,105.373,43273,52.233700,37769,0.027
21:11:45.234 > READ_CSV,2429609,3,87.137,0,52.233700,0,0.027
21:11:45.246 > READ_CSV,2429621,1,70.491,156049,52.233700,152367,0.028
21:11:45.246 > READ_CSV,2429621,2,105.430,43276,52.233700,37769,0.028
21:11:45.246 > READ_CSV,2429621,3,87.960,0,52.233700,0,0.028
21:11:45.257 > READ_CSV,2429634,1,68.519,155946,52.233700,152367,0.028
21:11:45.257 > READ_CSV,2429634,2,103.745,43188,52.233700,37769,0.028
21:11:45.257 > READ_CSV,2429634,3,86.132,0,52.233700,0,0.028
21:11:45.268 > READ_CSV,2429646,1,65.973,155813,52.233700,152367,0.029
21:11:45.268 > READ_CSV,2429646,2,108.570,43440,52.233700,37769,0.029
21:11:45.268 > READ_CSV,2429646,3,87.271,0,52.233700,0,0.029
21:11:45.284 > READ_CSV,2429659,1,69.687,156007,52.233700,152367,0.029
21:11:45.284 > READ_CSV,2429659,2,105.085,43258,52.233700,37769,0.029
21:11:45.284 > READ_CSV,2429659,3,87.386,0,52.233700,0,0.029
21:11:45.296 > READ_CSV,2429671,1,68.136,155926,52.233700,152367,0.030
21:11:45.296 > READ_CSV,2429671,2,104.032,43203,52.233700,37769,0.030
21:11:45.296 > READ_CSV,2429671,3,86.084,0,52.233700,0,0.030
21:11:45.308 > READ_CSV,2429684,1,66.605,155846,52.233700,152367,0.030
21:11:45.308 > READ_CSV,2429684,2,106.847,43350,52.233700,37769,0.030
21:11:45.308 > READ_CSV,2429684,3,86.726,0,52.233700,0,0.030
21:11:45.316 > READ_CSV,2429696,1,68.768,155959,52.233700,152367,0.031
21:11:45.316 > READ_CSV,2429696,2,109.718,43500,52.233700,37769,0.031
21:11:45.316 > READ_CSV,2429696,3,89.243,0,52.233700,0,0.031
21:11:45.333 > READ_CSV,2429709,1,70.740,156062,52.233700,152367,0.031
21:11:45.333 > READ_CSV,2429709,2,109.661,43497,52.233700,37769,0.031
21:11:45.333 > READ_CSV,2429709,3,90.200,0,52.233700,0,0.031
21:11:45.346 > READ_CSV,2429721,1,72.444,156151,52.233700,152367,0.032
